sweep,trial,algo,proto,T,C,M,R,S,G,total_token_throughput_tok_s
net_sweep_496,1,Ring,LL,64,4,1,0,1,0,2055.89
net_sweep_496,2,Ring,LL,64,4,1,0,1,2,4820.86
net_sweep_496,3,Ring,LL,64,4,1,0,2,0,2058.18
net_sweep_496,4,Ring,LL,64,4,1,0,2,2,4833.1,
net_sweep_496,5,Ring,LL,64,4,1,1,1,0,2035.16
net_sweep_496,6,Ring,LL,64,4,1,1,1,2,4865.74
net_sweep_496,7,Ring,LL,64,4,1,1,2,0,2066.51
net_sweep_496,8,Ring,LL,64,4,1,1,2,2,4841.35
net_sweep_496,9,Ring,LL,64,4,2,0,1,0,2019.3,
net_sweep_496,10,Ring,LL,64,4,2,0,1,2,4851.1
net_sweep_501,1,Ring,LL,64,4,1,1,1,2,4864.46
net_sweep_501,2,Ring,LL,64,4,2,1,1,2,4866.28
net_sweep_501,3,Ring,LL,64,4,8,1,1,2,4800.07
net_sweep_506,1,Ring,LL,64,4,2,1,1,2,4793.04
net_sweep_506,2,Ring,LL,64,8,2,1,1,2,4779.41
net_sweep_506,3,Ring,LL,64,16,2,1,1,2,4799.24
net_sweep_506,4,Ring,LL,160,4,2,1,1,2,6066.1
net_sweep_506,5,Ring,LL,160,8,2,1,1,2,6071.39
net_sweep_506,6,Ring,LL,160,16,2,1,1,2,6054.2
net_sweep_506,7,Ring,LL,256,4,2,1,1,2,6344.87
net_sweep_506,8,Ring,LL,256,8,2,1,1,2,6426.3
net_sweep_506,9,Ring,LL,256,16,2,1,1,2,6474.61
net_sweep_506,10,Ring,LL128,64,4,2,1,1,2,9320.93
net_sweep_506,11,Ring,LL128,64,8,2,1,1,2,9445.17
net_sweep_506,12,Ring,LL128,64,16,2,1,1,2,9483.8
net_sweep_506,13,Ring,LL128,160,4,2,1,1,2,9538.34
net_sweep_506,14,Ring,LL128,160,8,2,1,1,2,9306.47
net_sweep_506,15,Ring,LL128,160,16,2,1,1,2,9480.64
net_sweep_506,16,Ring,LL128,256,4,2,1,1,2,9462.84
net_sweep_506,17,Ring,LL128,256,8,2,1,1,2,9308.89
net_sweep_506,18,Ring,LL128,256,16,2,1,1,2,9561.03
net_sweep_506,19,Ring,Simple,64,4,2,1,1,2,7535.79
net_sweep_506,20,Ring,Simple,64,8,2,1,1,2,7476.96
net_sweep_506,21,Ring,Simple,64,16,2,1,1,2,7540.61
net_sweep_506,22,Ring,Simple,160,4,2,1,1,2,8162.72
net_sweep_506,23,Ring,Simple,160,8,2,1,1,2,8133.89
net_sweep_506,24,Ring,Simple,160,16,2,1,1,2,8057.54
net_sweep_506,25,Ring,Simple,256,4,2,1,1,2,8246.53
net_sweep_506,26,Ring,Simple,256,8,2,1,1,2,8251.19
net_sweep_506,27,Ring,Simple,256,16,2,1,1,2,8244.35
